id	root	class	class_roman	stem	translation	lesson	tag
1	pat	1	I		падать, лететь	1
2	dah	1	I		гореть, жечь	1
3	yaj	1	I		приносить жертву (кому-Acc., что-In. для кого-D.)	1
4	SaMs	1	I		прославлять	1
5	vas	1	I		жить-обитать, проживать	1
6	rakz	1	I		защищать	1
7	jIv	1	I		жить	1
8	car	1	I		ходить, совершать, пастись	1
9	nam	1	I		кланяться (D.), почитать	1
10	pac	1	I		варить, готовить	1
11	DAv	1	I		бежать	1
12	tyaj	1	I		покидать	1
13	vah	1	I		нести, течь, дуть, веять	1
14	ji	1	I		побеждать, завоевывать	2	no_stem
15	nI	1	I		вести, направлять	2	no_stem
16	BU	1	I		быть, становиться, происходить	2	no_stem
17	smf	1	I		вспоминать	2	no_stem
18	tF	1	I		переправлять, спасать	2	no_stem
19	vfz	1	I		идти (о дожде), осыпать дарами	2	no_stem
20	pA	1	I	piba	пить	2	has_stem
21	sTA	1	I	tizWa	стоять, находиться	2	has_stem
22	dfS	1	I	paSya	смотреть, видеть	2	has_stem
23	gam	1	I	gacCa	идти, ходить	2	has_stem
24	yam	1	I	yacCa	давать	2	has_stem
25	kzip	6	VI		бросать	3	VI-no_stem
26	viS	6	VI		входить	3	VI-no_stem
27	pracC	6	VI	pfcCa	спрашивать	3	VI
28	karz	6	VI	kfza	пахать	3	VI
29	sparS	6	VI	spfSa	прикасаться	3	VI
30	iz	6	VI	icCa	искать, желать	3	VI
31	diS	6	VI	diSa	показывать	3	VI
32	sic	6	VI	siYca	капать, поливать	3	VI
33	sarj	6	VI	sfja	творить, выпускать	3	VI
34	hvA	1	I	hvaya	звать	3	I
35	sad	1	I	sIda	сидеть	3	I
36	guh	1	I	gUha	прятать	3	I
37	muc	6	VI	muYca	освобождать, отпускать	4	VI
38	kart	6	VI	kfnta	резать	4	VI
39	lip	6	VI	limpa	мазать	4	VI
40	lup	6	VI	lumpa	ломать, грабить	4	VI
41	gup	1	I	gopAya	стеречь, защищать	4	I
42	ruh	1	I	ruha	расти	4	I
43	luB	4	IV		желать	5
44	kruD	4	IV		гневаться (+D., Gen.)	5
45	Suz	4	IV		засыхать	5
46	kup	4	IV		гневаться, сердиться (+D.)	5
47	as	4	IV		бросать, метать	5
48	naS	4	IV		погибать, обращаться в бегство	5
49	snih	4	IV		любить, быть расположенным к (+Gen., Loc.)	5
50	liK	6	VI		писать	5
51	A-gam	1	I		приходить	5
52	A-ruh	1	I		влезать, подниматься на, восходить	5
53	A-kram	4	IV		наступать, нападать (тж. I krāma)	6
54	div	4	IV		играть	6
55	mad	4	IV	mAdya	пьянеть	6
56	tuz	4	IV		радоваться, быть довольным	6
57	tam	4	IV		быть печальным	6
58	Sam	4	IV		успокаиваться, тухнуть	6
59	Sram	4	IV		уставать	6
60	Bram	4	IV		бродить, блуждать	6
61	vyaD	4	IV	viDya	пронзать, попадать	6
62	A-cam	1	I	A-cama	пить, зачерпывать	6
63	ar	1	I	fcCa	идти, падать на к.-л.	6
64	har	1	I		брать, отнимать, похищать	6
65	kzal	10	X		мыть	7
66	cur	10	X		красть	7
67	tul	10	X		взвешивать	7
68	taq	10	X		бить	7
69	gaR	10	X	gaRaya	считать	7
70	kaT	10	X	kaTaya	рассказывать, излагать	7
71	daRq	10	X		наказывать	7
72	pIq	10	X		мучить	7
73	par	10	X		преодолевать	7
74	pUj	10	X		почитать	7
75	A-nI	1	I		приносить	7
76	Ikz	1	I		видеть, смотреть	8	verbs_Ā
77	kamp	1	I		дрожать, сотрясаться	8	verbs_Ā
78	BAz	1	I		говорить	8	verbs_Ā
79	yat	1	I		стремиться к (+D.)	8	verbs_Ā
80	A-raB	1	I		начинать, принимать за	8	verbs_Ā
81	ruc	1	I		нравиться (+ Dat., Gen.)	8	verbs_Ā
82	laB	1	I		получать	8	verbs_Ā
83	vand	1	I		кланяться, чтить	8	verbs_Ā
84	Sikz	1	I		учиться, учить ч.-л.	8	verbs_Ā
85	sah	1	I		переносить, терпеть	8	verbs_Ā
86	sev	1	I		служить, почитать	8	verbs_Ā
87	jan	4	IV	jAya	рождаться, возникать	8	verbs_Ā
88	yuD	4	IV		сражаться (+In.)	8	verbs_Ā
89	mar	6	VI	mriya	умирать	8	verbs_Ā
90	arT	10	X		просить, требовать (+Acc. duplex)	8	verbs_Ā
91	saM-gam	1	I		сходиться вместе, соединяться (+In.)	9	verbs_Ā
92	parA-ji	1	I		побеждать	9	verbs_Ā
93	uq-qI	1	I		взлетать	9	verbs_Ā
94	Bikz	1	I		просить милостыню	9	verbs_Ā
95	SuB	1	I		блистать	9	verbs_Ā
