id	word	gender	translation	lesson	tag
1	kfzRa	m	черный	9
2	kfzRa	f	черный	9
3	pApa	m	злой, дурной	9
4	pApa	f	злой, дурной	9
5	praBUta	m	многочисленный	9
6	praBUtA	f	многочисленный	9
7	viDeya	m	послушный	10
8	viDeyA	f	послушный	10
9	SIta	m	прохладный, холодный	11
10	SItA	f	прохладный, холодный	11
11	nIca	m	низкий	12	
12	nIcA	f	низкий	12	
13	muKya	m	отличный, превосходный, первый	12	
14	muKyA	f	отличный, превосходный, первый	12	
15	laGu	m	легкий	12	
16	laGu	f	легкий	12	
17	laGu	n	легкий	12	
18	laGvI	f	легкий	12	
19	kftsna	m	весь, целый	13	
20	kftsnA	f	весь, целый	13	
21	cAru	m	красивый	13	
22	cAru	f	красивый	13	
23	DIra	m	стойкий, мудрый, мужественный	13	
24	DIrA	f	стойкий, мудрый, мужественный	13	
25	Sveta	m	белый	13	
26	SvetA	f	белый	13	
27	apara	m	низкий, другой	14
28	aparA	f	низкий, другой	14
29	para	m	высший, другой, чужой, дальний	14
30	parA	f	высший, другой, чужой, дальний	14
31	vakra	m	кривой, согнутый	14
32	vakrA	f	кривой, согнутый	14
33	sundara	m	красивый	14
34	sundarI	f	красивый	14
35	daridra	m	бедный	15
36	daridrA	f	бедный	15
37	vara	m	лучший, превосходнейший	15
38	varA	f	лучший, превосходнейший	15
39	aDika	m	больше, больший, величайший	16
40	aDikA	f	больше, больший, величайший	16
41	kAmaduGa	m	исполняющий желание	16
42	kAmaduGA	f	исполняющий желание	16
43	duzprayukta	m	плохо устроенный, или употребленный	16
44	duzprayuktA	f	плохо устроенный, или употребленный	16
45	prayukta	m	употребленный или устроенный	16
46	prayuktA	f	употребленный или устроенный	16
47	jyezWa	m	старший	16
48	jyezWA	f	старший	16
49	SrezWa	m	лучший	16
50	SrezWA	f	лучший	16
51	Badra	m	хороший, милый	17
52	BadrA	f	хороший, милый	17
53	Badra	n	счастье	17
54	saMdigDa	m	сомнительный, ненадежный	17
55	saMdigDA	f	сомнительный, ненадежный	17
56	navIna	m	новый	18
57	navInA	f	новый	18
58	sva	m	свой	18
59	svA	f	свой	18
60	kuSala	m	ловкий, опытный, ученый	20
61	kuSalA	f	ловкий, опытный, ученый	20
62	trivft	m	тройной	20
63	trivft	f	тройной	20
64	trivft	n	тройной	20
65	durlaBa	m	трудно находимый, недостижимый	20
66	durlaBA	f	трудно находимый, недостижимый	20
67	Bakta	m	преданный, верный	20
68	BaktA	f	преданный, верный	20
69	svAdu	m	сладкий	19
70	svAdu	f	сладкий	19
71	svAdu	n	сладкий	19
