id	entity	translation	lesson	tag
1	ataH	отсюда, поэтому	1
2	itaH	отсюда, поэтому	1
3	atra	здесь, сюда	1
4	itTam	так	1
5	aDunA	теперь	1
6	evam	так	1
7	adya	сегодня	1
8	ca	и	1
9	kutaH	откуда? почему?	1
10	eva	именно, только	1
11	tataH	оттуда, потому	1
12	tatra	там, туда	1
13	taTA	так	1
14	tadA	тогда	1
15	iti	так	1
16	sadA	всегда	1
17	iha	здесь	1
18	kutra	где? куда?	1
19	kva	где? куда?	1
20	punaH	опять, снова, но, же	1
21	yataH	откуда, почему	1
22	yatra	где, куда	1
23	yaTA	как	1
24	yadA	если, когда	1
25	tu	но, же	1
26	kiMtu	но, же	1
27	sarvatra	всюду, везде	1
28	kaTam	как?	1
29	kadA	когда?	1
30	he	о!	1
31	iva	как, подобно	7
32	na	не	8
33	sahasA	внезапно, быстро	9
34	saha	вместе (с +In.)	9
35	aDastAt	под, внизу	14
36	ciram	долго	14
37	dIrGam	долго	14
38	hrasvam	коротко, ближе к	14
39	mA	отрицание при imp. = лат. ne	14
40	vA	или	14
41	namas	почет, хвала (indecl. +Dat.)	15
42	sA	она (f.)	16
43	cet	если	16
44	nityam	всегда, ежедневно	16
45	yadi	если	16
46	samyak	хорошо	16
47	kaScit	кто-нибудь, некто (kas, kā+cit, +cana или +api)	19
48	kiMcit	какое-нибудь, что-то, нечто (kim+cit, +cana или +api)	19
49	na kaScit	никто	19
50	na kiMcit	ничто	19
51	api	также, даже, хотя, и	20
52	paScAt	за (Gen.), позади	20
53	vinA	без (In. или Acc.)	20
54	kadācana, kadāpi, kadācit	когда-то	21
55	vai	действительно	22
56	śvas	завтра	23
57	prāyeṇa	обыкновенно	24
